:ID	number	label	type	quoted	text	:LABEL
HD3D7D15B682F4D3D8A4A266F7B84B3C3	(a)	(a) Local Educational Agency Grants	subsection	False	(a) Local Educational Agency GrantsThere are authorized to be appropriated to carry out the activities described in part A (1)$15,012,317,605 for fiscal year 2017; (2)$15,457,459,042 for fiscal year 2018; (3)$15,897,371,442 for fiscal year 2019; and (4)$16,182,344,591 for fiscal year 2020.	Subsection
H7D7311CC1A354634956EFCFB4239BF12	(b)	(b) State Assessments	subsection	False	(b)State AssessmentsThere are authorized to be appropriated to carry out the activities described in part B, $378,000,000 for each of fiscal years 2017 through 2020.	Subsection
H805CD5CC88344892B4174BCBE13A9DA9	(c)	(c) Education of Migratory Children	subsection	False	(c)Education of Migratory ChildrenThere are authorized to be appropriated to carry out the activities described in part C, $374,751,000 for each of fiscal years 2017 through 2020.	Subsection
H52FB2CF5A67A4120900CBFF45FB0C27F	(d)	(d) Prevention and Intervention Programs for Children and Youth Who Are Neglected, Delinquent, or At-ris	subsection	False	(d)Prevention and Intervention Programs for Children and Youth Who Are Neglected, Delinquent, or At-riskThere are authorized to be appropriated to carry out the activities described in part D, $47,614,000 for each of fiscal years 2017 through 2020.	Subsection
HF70DA969A3A74CD287CC54FE11D18A18	(e)	(e) Federal Activities	subsection	False	(e)Federal ActivitiesFor the purpose of carrying out evaluation activities related to title I under section 8601, there are authorized to be appropriated $710,000 for each of fiscal years 2017 through 2020.	Subsection
H1D824892E16247FF83AF01EA1A51615D	(f)	(f) Sense of Congress regarding adjustments to authorizations of appropriations provided in this Act for	subsection	False	(f)Sense of Congress regarding adjustments to authorizations of appropriations provided in this Act for future budget agreementsIt is the sense of Congress that if legislation is enacted that revises the limits on discretionary spending established under section 251(c) of the Balanced Budget and Emergency Deficit Control Act of 1985 (2 U.S.C. 901(c)), the levels of appropriations authorized throughout this Act should be adjusted in a manner that is consistent with the adjustments in nonsecurity category funding provided for under the revised limits on discretionary spending.	Subsection
HD3D7D15B682F4D3D8A4A266F7B84B3C3	(a)	(a) Local Educational Agency Grants	subsection	True	(a) Local Educational Agency GrantsThere are authorized to be appropriated to carry out the activities described in part A (1)$15,012,317,605 for fiscal year 2017; (2)$15,457,459,042 for fiscal year 2018; (3)$15,897,371,442 for fiscal year 2019; and (4)$16,182,344,591 for fiscal year 2020.	Subsection
H7D7311CC1A354634956EFCFB4239BF12	(b)	(b) State Assessments	subsection	True	(b)State AssessmentsThere are authorized to be appropriated to carry out the activities described in part B, $378,000,000 for each of fiscal years 2017 through 2020.	Subsection
H805CD5CC88344892B4174BCBE13A9DA9	(c)	(c) Education of Migratory Children	subsection	True	(c)Education of Migratory ChildrenThere are authorized to be appropriated to carry out the activities described in part C, $374,751,000 for each of fiscal years 2017 through 2020.	Subsection
H52FB2CF5A67A4120900CBFF45FB0C27F	(d)	(d) Prevention and Intervention Programs for Children and Youth Who Are Neglected, Delinquent, or At-ris	subsection	True	(d)Prevention and Intervention Programs for Children and Youth Who Are Neglected, Delinquent, or At-riskThere are authorized to be appropriated to carry out the activities described in part D, $47,614,000 for each of fiscal years 2017 through 2020.	Subsection
HF70DA969A3A74CD287CC54FE11D18A18	(e)	(e) Federal Activities	subsection	True	(e)Federal ActivitiesFor the purpose of carrying out evaluation activities related to title I under section 8601, there are authorized to be appropriated $710,000 for each of fiscal years 2017 through 2020.	Subsection
H1D824892E16247FF83AF01EA1A51615D	(f)	(f) Sense of Congress regarding adjustments to authorizations of appropriations provided in this Act for	subsection	True	(f)Sense of Congress regarding adjustments to authorizations of appropriations provided in this Act for future budget agreementsIt is the sense of Congress that if legislation is enacted that revises the limits on discretionary spending established under section 251(c) of the Balanced Budget and Emergency Deficit Control Act of 1985 (2 U.S.C. 901(c)), the levels of appropriations authorized throughout this Act should be adjusted in a manner that is consistent with the adjustments in nonsecurity category funding provided for under the revised limits on discretionary spending.	Subsection
H85DA6586028E4E6589821D8CCFAA86CC	(a)	(a) State reservations	subsection	False	(a)State reservationsTo carry out subsection (b) and the State educational agencys statewide system of technical assistance and support for local educational agencies, each State shall reserve the greater of (1)7 percent of the amount the State receives under subpart 2 of part A; or (2)the sum of the amount the State (A)reserved for fiscal year 2016 under this subsection, as in effect on the day before the date of enactment of the Every Student Succeeds Act; and (B)received for fiscal year 2016 under subsection (g), as in effect on the day before the date of enactment of the Every Student Succeeds Act.	Subsection
HE333ABE7713F4C51AD8D4AE4A6B33838	(b)	(b) Uses	subsection	False	(b)UsesOf the amount reserved under subsection (a) for any fiscal year, the State educational agency (1)(A)shall allocate not less than 95 percent of that amount to make grants to local educational agencies on a formula or competitive basis, to serve schools implementing comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d); or (B)may, with the approval of the local educational agency, directly provide for these activities or arrange for their provision through other entities such as school support teams, educational service agencies, or nonprofit or for-profit external providers with expertise in using evidence-based strategies to improve student achievement, instruction, and schools; and (2)shall use the funds not allocated to local educational agencies under paragraph (1) to carry out this section, which shall include (A)establishing the method, consistent with paragraph (1)(A), the State will use to allocate funds to local educational agencies under such paragraph, including ensuring (i)the local educational agencies receiving an allotment under such paragraph represent the geographic diversity of the State; and (ii)that allotments are of sufficient size to enable a local educational agency to effectively implement selected strategies; (B)monitoring and evaluating the use of funds by local educational agencies receiving an allotment under such paragraph; and (C)as appropriate, reducing barriers and providing operational flexibility for schools in the implementation of comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d).	Subsection
H296F359E0BEF411790902DD1720E0D56	(c)	(c) Duration	subsection	False	(c)DurationThe State educational agency shall award each subgrant under subsection (b) for a period of not more than 4 years, which may include a planning year.	Subsection
HEC31E2E2D77D4A5B8890465EC9604ABE	(d)	(d) Rule of construction	subsection	False	(d)Rule of constructionNothing in this section shall be construed as prohibiting a State from allocating subgrants under this section to a statewide school district, consortium of local educational agencies, or an educational service agency that serves schools implementing comprehensive support and improvement activities or targeted support and improvement activities, if such entities are legally constituted or recognized as local educational agencies in the State.	Subsection
HE1319DCB8D264C57B73D95019AB40F56	(e)	(e) Application	subsection	False	(e)ApplicationTo receive an allotment under subsection (b)(1), a local educational agency shall submit an application to the State educational agency at such time, in such form, and including such information as the State educational agency may require. Each application shall include, at a minimum (1)a description of how the local educational agency will carry out its responsibilities under section 1111(d) for schools receiving funds under this section, including how the local educational agency will (A)develop comprehensive support and improvement plans under section 1111(d)(1) for schools receiving funds under this section; (B)support schools developing or implementing targeted support and improvement plans under section 1111(d)(2), if funds received under this section are used for such purpose; (C)monitor schools receiving funds under this section, including how the local educational agency will carry out its responsibilities under clauses (iv) and (v) of section 1111(d)(2)(B) if funds received under this section are used to support schools implementing targeted support and improvement plans; (D)use a rigorous review process to recruit, screen, select, and evaluate any external partners with whom the local educational agency will partner; (E)align other Federal, State, and local resources to carry out the activities supported with funds received under subsection (b)(1); and (F)as appropriate, modify practices and policies to provide operational flexibility that enables full and effective implementation of the plans described in paragraphs (1) and (2) of section 1111(d); and (2)an assurance that each school the local educational agency proposes to serve will receive all of the State and local funds it would have received in the absence of funds received under this section.	Subsection
HFF5C1EA6926F453DA3484116663ED984	(f)	(f) Priority	subsection	False	(f)PriorityThe State educational agency, in allocating funds to local educational agencies under this section, shall give priority to local educational agencies that (1)serve high numbers, or a high percentage of, elementary schools and secondary schools implementing plans under paragraphs (1) and (2) of section 1111(d); (2)demonstrate the greatest need for such funds, as determined by the State; and (3)demonstrate the strongest commitment to using funds under this section to enable the lowest-performing schools to improve student achievement and student outcomes.	Subsection
H7987BABB6EC5499080F39782F02DE67C	(g)	(g) Unused funds	subsection	False	(g)Unused fundsIf, after consultation with local educational agencies in the State, the State educational agency determines that the amount of funds reserved to carry out subsection (b) is greater than the amount needed to provide the assistance described in that subsection, the State educational agency shall allocate the excess amount to local educational agencies in accordance with (1)the relative allocations the State educational agency made to those agencies for that fiscal year under subpart 2 of part A; or (2)section 1126(c).	Subsection
H197A31F4281C4172A852295D812AB04C	(h)	(h) Special rule	subsection	False	(h)Special ruleNotwithstanding any other provision of this section, the amount of funds reserved by the State educational agency under subsection (a) for fiscal year 2018 and each subsequent fiscal year shall not decrease the amount of funds each local educational agency receives under subpart 2 of part A below the amount received by such local educational agency under such subpart for the preceding fiscal year.	Subsection
HD783E4EDE49B4AD39023B2993ED45A78	(i)	(i) Reporting	subsection	False	(i)ReportingThe State shall include in the report described in section 1111(h)(1) a list of all the local educational agencies and schools that received funds under this section, including the amount of funds each school received and the types of strategies implemented in each school with such funds.	Subsection
H85DA6586028E4E6589821D8CCFAA86CC	(a)	(a) State reservations	subsection	True	(a)State reservationsTo carry out subsection (b) and the State educational agencys statewide system of technical assistance and support for local educational agencies, each State shall reserve the greater of (1)7 percent of the amount the State receives under subpart 2 of part A; or (2)the sum of the amount the State (A)reserved for fiscal year 2016 under this subsection, as in effect on the day before the date of enactment of the Every Student Succeeds Act; and (B)received for fiscal year 2016 under subsection (g), as in effect on the day before the date of enactment of the Every Student Succeeds Act.	Subsection
HE333ABE7713F4C51AD8D4AE4A6B33838	(b)	(b) Uses	subsection	True	(b)UsesOf the amount reserved under subsection (a) for any fiscal year, the State educational agency (1)(A)shall allocate not less than 95 percent of that amount to make grants to local educational agencies on a formula or competitive basis, to serve schools implementing comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d); or (B)may, with the approval of the local educational agency, directly provide for these activities or arrange for their provision through other entities such as school support teams, educational service agencies, or nonprofit or for-profit external providers with expertise in using evidence-based strategies to improve student achievement, instruction, and schools; and (2)shall use the funds not allocated to local educational agencies under paragraph (1) to carry out this section, which shall include (A)establishing the method, consistent with paragraph (1)(A), the State will use to allocate funds to local educational agencies under such paragraph, including ensuring (i)the local educational agencies receiving an allotment under such paragraph represent the geographic diversity of the State; and (ii)that allotments are of sufficient size to enable a local educational agency to effectively implement selected strategies; (B)monitoring and evaluating the use of funds by local educational agencies receiving an allotment under such paragraph; and (C)as appropriate, reducing barriers and providing operational flexibility for schools in the implementation of comprehensive support and improvement activities or targeted support and improvement activities under section 1111(d).	Subsection
H296F359E0BEF411790902DD1720E0D56	(c)	(c) Duration	subsection	True	(c)DurationThe State educational agency shall award each subgrant under subsection (b) for a period of not more than 4 years, which may include a planning year.	Subsection
HEC31E2E2D77D4A5B8890465EC9604ABE	(d)	(d) Rule of construction	subsection	True	(d)Rule of constructionNothing in this section shall be construed as prohibiting a State from allocating subgrants under this section to a statewide school district, consortium of local educational agencies, or an educational service agency that serves schools implementing comprehensive support and improvement activities or targeted support and improvement activities, if such entities are legally constituted or recognized as local educational agencies in the State.	Subsection
