:START_ID	:END_ID	TYPE	context
HBCB1043F254B467C880CA4632EB8661D	S1177	part_of	
H37898CE342274356A2E0C2E54F77E786	HBCB1043F254B467C880CA4632EB8661D	part_of	
H2DE7E7259A754ABC8380F1FA8D554CC4	H37898CE342274356A2E0C2E54F77E786	part_of	
HBB6B8185A7104F628639A649F6908CCC	H37898CE342274356A2E0C2E54F77E786	part_of	
H6EC42EFCAF704417A468C955A528C3FA	HBB6B8185A7104F628639A649F6908CCC	part_of	
H07B834F8D9E6492991058C80A2C7ED5B	H37898CE342274356A2E0C2E54F77E786	part_of	
HD3D7D15B682F4D3D8A4A266F7B84B3C3	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
HC864084B4FDE444E9054B10287300EA8	HD3D7D15B682F4D3D8A4A266F7B84B3C3	part_of	
HDDA1B8B978EB4D5EB8ADF63E8D01442A	HD3D7D15B682F4D3D8A4A266F7B84B3C3	part_of	
HB258763897FD4B1E88AE91C4C2D050D0	HD3D7D15B682F4D3D8A4A266F7B84B3C3	part_of	
H1751AA0EA40D4309863B832107B06357	HD3D7D15B682F4D3D8A4A266F7B84B3C3	part_of	
H7D7311CC1A354634956EFCFB4239BF12	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
H805CD5CC88344892B4174BCBE13A9DA9	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
H52FB2CF5A67A4120900CBFF45FB0C27F	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
HF70DA969A3A74CD287CC54FE11D18A18	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
H1D824892E16247FF83AF01EA1A51615D	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
HE8D2160677F245A1B8FBE5E117988F0D	H07B834F8D9E6492991058C80A2C7ED5B	part_of	
HD3D7D15B682F4D3D8A4A266F7B84B3C3	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
H7D7311CC1A354634956EFCFB4239BF12	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
H805CD5CC88344892B4174BCBE13A9DA9	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
H52FB2CF5A67A4120900CBFF45FB0C27F	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
HF70DA969A3A74CD287CC54FE11D18A18	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
H1D824892E16247FF83AF01EA1A51615D	HE8D2160677F245A1B8FBE5E117988F0D	part_of	
HE64AFDB125CD48A3BD2521E856A989B2	H37898CE342274356A2E0C2E54F77E786	part_of	
